field_type,date,impressions_sum_sum,clicks_sum_sum,cost_micros_sum_sum
StructuredSnippet,2022-02-03,5096,973,10070750000
StructuredSnippet,2022-02-04,13081,1811,15339680000
StructuredSnippet,2022-02-05,13118,1783,7282387911
StructuredSnippet,2022-02-06,12978,1777,7246090000
StructuredSnippet,2022-02-07,16874,2114,13306825271
StructuredSnippet,2022-02-08,37999,4425,22926049130
StructuredSnippet,2022-02-09,68714,7903,24665456000
StructuredSnippet,2022-02-10,233621,51015,44432975358
StructuredSnippet,2022-02-11,468481,95640,94426684197
StructuredSnippet,2022-02-12,660467,142871,236410881164
StructuredSnippet,2022-02-13,800070,172068,454952638272
StructuredSnippet,2022-02-14,840022,173415,437576338167
StructuredSnippet,2022-02-15,844314,176895,457693183209
StructuredSnippet,2022-02-16,885212,173938,506798777288
StructuredSnippet,2022-02-17,1867577,357141,1705955381683
StructuredSnippet,2022-02-18,1873854,378373,1719929753647
StructuredSnippet,2022-02-19,2027073,408683,1798608020116
StructuredSnippet,2022-02-20,2034057,402080,1760883589663
StructuredSnippet,2022-02-21,1858207,359731,1642825653167
StructuredSnippet,2022-02-22,1877926,357638,1580002746944
StructuredSnippet,2022-02-23,2109311,349403,1715953653680
StructuredSnippet,2022-02-24,2164617,336327,1699943383103
StructuredSnippet,2022-02-25,2254407,345677,1795492887637
StructuredSnippet,2022-02-26,2346652,370817,2027453742331
StructuredSnippet,2022-02-27,2261461,363338,2083790507435
StructuredSnippet,2022-02-28,2193765,337604,1714263945970
StructuredSnippet,2022-03-01,2394748,357675,2062120318723
StructuredSnippet,2022-03-02,2315583,335907,2015098832051
StructuredSnippet,2022-03-03,2297973,342720,2111845242585
StructuredSnippet,2022-03-04,2204820,340426,1659255092325
StructuredSnippet,2022-03-05,2466362,365819,1729498399470
StructuredSnippet,2022-03-06,2526393,378412,1613658616311
StructuredSnippet,2022-03-07,2433720,343674,1366452700568
StructuredSnippet,2022-03-08,2129504,254607,1288992402899
StructuredSnippet,2022-03-09,2406990,352404,1110601240570
StructuredSnippet,2022-03-10,2094052,368686,4227011328091
StructuredSnippet,2022-03-11,1785761,299892,4502924715098
StructuredSnippet,2022-03-12,2291474,385798,3298414730688
StructuredSnippet,2022-03-13,2285054,372718,3281521107964
StructuredSnippet,2022-03-14,2039108,343420,5648338552594
StructuredSnippet,2022-03-15,1788660,340301,4887512799403
StructuredSnippet,2022-03-16,1757112,339572,5237860943450
StructuredSnippet,2022-03-17,1737793,343347,5717973882373
StructuredSnippet,2022-03-18,1911828,379404,5789016695187
StructuredSnippet,2022-03-19,2004295,381945,3910321490701
StructuredSnippet,2022-03-20,1995704,378644,3364363693966
StructuredSnippet,2022-03-21,1987929,348819,5893122368548
StructuredSnippet,2022-03-22,1950715,333364,5695966392733
StructuredSnippet,2022-03-23,1880167,336213,6308317143033
StructuredSnippet,2022-03-24,1758326,324592,6889622903683
StructuredSnippet,2022-03-25,1769386,340329,7340656771244
StructuredSnippet,2022-03-26,1895292,356720,6372946894849
StructuredSnippet,2022-03-27,2026874,338518,5331299972320
StructuredSnippet,2022-03-28,1810804,322955,5827158591522
StructuredSnippet,2022-03-29,1802285,326536,5782392270655
